Datetime,Tweet Id,Text,Username
2022-01-29 12:51:26+00:00,1487408042157264903,"@ogundamisi 👉HE IS BUHARIST ( will have the support of majority of the North 
👉He is younger than Atiku Abubakar and Bola Timubu
👉HE IS A NATIONALIST ( He believes in one NIGERIA 🇳🇬)",babafes2
2022-01-29 12:06:49+00:00,1487396812482924544,"I am dead sure that Dokpesi is actually working against the candidature of @atiku . 

2 gaffes in a week aren't normal.

I don't think Atiku Abubakar will make such a reckless, insensitive &amp; provocative statement. https://t.co/rwUODM1cM6",IkudayisiJ
2022-01-29 11:51:39+00:00,1487392995360002055,@atiku @thekashope mr atiku Abubakar our next president insha Allah,uk_jos
2022-01-29 10:41:12+00:00,1487375267484033024,"IS ATIKU ABUBAKAR (WAZIRIN ADAMAWA) READY TO CHALLENGES PDP GOVERNOR'S' FORUM AND GET ANOTHER TICKET AS PDP PRESIDENTIAL CANDIDATE IN 2023?

IF NOT ATIKU THEN WHO WOULD EMERGE?

@atiku https://t.co/CJvIVZ27dq",UsmanDawu
2022-01-29 10:01:09+00:00,1487365188085063680,"Proudly #Atikukawai member, @atiku Abubakar ambassador, an advocate of good governance. https://t.co/4nwPNWyplc",NigerTrump
2022-01-29 09:57:20+00:00,1487364229401559040,@jrnaib2 Atiku Abubakar is the right choice for PDP in 2023 if our great party is desirous of rescuing Nigeria from the fangs of imperialism,Abkrsuleiman
2022-01-29 09:50:24+00:00,1487362482607906817,"@ernestadiq President - Atiku Abubakar 
Vice -President - Peter Obi

My own desire in 2023.",Yalsmusa
2022-01-29 09:44:36+00:00,1487361023115997186,Atiku Abubakar is the right choice for PDP in 2023 if our great party is desirous of rescuing Nigeria from the fangs of imperialism,AnthonyOnyekur4
2022-01-29 09:33:34+00:00,1487358245324873728,"@itz1pen @atiku Atiku Abubakar is our HOPE!

#AtikuKawai",Adamawalastborn
2022-01-29 09:22:14+00:00,1487355395970584576,"Atiku Abubakar is just very 🆗

Not the ONLY person with skills to get Nigeria working again. But definitely the BEST amongst the obtainable GEMs. 

On Atiku's mandate we stand.

Join US! 

#Atikukawai 2023 https://t.co/eHRfbuzSSB",IbrahimAdesoye
2022-01-29 09:14:29+00:00,1487353444067332100,"40% of Youths and Women involvement in governance is something that should entice every Nigerian in Atiku Atiku Abubakar's presidency.  

#Atikukawai https://t.co/aHBqRGHgkr",Galafi_Hamma
2022-01-29 09:01:08+00:00,1487350085050671104,"Atiku Abubakar is just very 🆗

Not the ONLY person with skills to get Nigeria working again. But definitely the BEST amongst the obtainable GEMs. 

On Atiku's mandate we stand.

Join US! 

#Atikukawai 2023 https://t.co/BO0tbxTX1j",Rasheethe
2022-01-29 08:55:59+00:00,1487348787324592131,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/NMtpDk6EfN",ABDALLAHBALA4
2022-01-29 08:55:31+00:00,1487348672723623939,"With Atiku Abubakar new Nigeria is possible,",Mubarakaminu02
2022-01-29 07:59:47+00:00,1487334647432417282,Atiku Abubakar is set to lead this country to the greater heights. He is a capacity leader. Atiku  is a leader who truly has the interest of the country at heart. Let's support him for 2023.#AtikuStateOfMind https://t.co/aj1OHK50Jg,Zak__muhammed
2022-01-29 07:34:38+00:00,1487328317669875712,"“I have succeeded in running my private enterprises which now employ over 50, 000 Nigerians because I believe in policies and I have the discipline to stay with them until they become a reality” - Atiku Abubakar 

#Atikukawai 
#GoForCompetence https://t.co/srGd7AZxP2",UmarIlu8
2022-01-29 06:59:15+00:00,1487319410348113922,"BREAKING: PDP Opens Its 2023 Presidential Slot To Strictly Qualified And Credible Candidates From Any Part Of The Country, Ignores Zoning, To Allow Former Senate President Bukola Saraki Or Former Vice President Atiku Abubakar Emerge As The Next President   https://t.co/vYl84ejNYN",page36news
2022-01-29 06:50:16+00:00,1487317150805426179,"@official_IYO Thanks for this. Pls, kindly look into d same issue bedevilling d residents of Adegboyega/SOJ Street off Atiku Abubakar road, they've been in blackout for almost 6 months now, several appeals/complainant has been made, including to ur office. We look forward to ur intervention.",aesharr
2022-01-29 05:07:06+00:00,1487291189002964993,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/hzgRdy1QHG",Ubandomajr001
2022-01-29 01:21:04+00:00,1487234306657325057,"Atiku Abubakar calls on Ebonyi governor to return PDP secretariat, release party’s spokesman https://t.co/h4db92F8km",todayng
